word,definition
FERROVIERE,Va in stazione per lavorare
SCIA,Ha la cresta di schiuma
ANTENATO,Un parente lontanissimo
KO,Lascia il pugile al tappeto
PUB,Vi si danno appuntamento gli Inglesi
VICE,Un alter ego
DERELITTO,Abbandonato da tutti
OSCAR ALLA CARRIERA,Lo hanno vinto Lina Wertmüller e David Lynch
CHATTANOOGA,Grant vi sconfisse i Sudisti
ULYSSES,Il Grant che fu Presidente degli Stati Uniti
HILL,Il Notting quartiere londinese
HILL,Notting __: è un quartiere residenziale di Londra
HILL,Terence
GRANT,L'Hugh interprete di Notting Hill
ERIN,La Brockovich impersonata da Julia Roberts
ERIN,La Brockovich interpretata da Julia Roberts
TIRO,È a segno nei luna park
ACE,Una bomba a tennis
CARIE,Una minaccia per i denti
SBUFFARE,Un verbo dell'insofferente
CAPSULE,Col farmaco... finiscono in bocca
AMERICANI,Li... scoprì Colombo
TODI,La città umbra con il Palazzo del Capitano
MAITANI,L'architetto autore della facciata del duomo di Orvieto
SENARIO,Un verso come Fratelli d'Italia
COSTA REI,Zona turistica sarda vicina a Villasimius
TODI,La città dell'Umbria con il Palazzo del Capitano
TODI,Si chiamò Tuder
TODI,Pittoresca città umbra fra Orvieto e Spoleto
PERUGIA,La provincia di Spoleto
LUXOR,Città vicina alla Valle dei Re
FUSARO,Lago dei Campi Flegrei
FALCASTRO,Un'antica arma tagliente sui carri da guerra
FACCIA TOSTA,"Chi ce l'ha, difficilmente arrossisce"
FALCO GIOCOLIERE,Un rapace africano dal volo assai caratteristico
EX,Indica il coniuge separato
EX,Si dice per già
EX,Un coniuge dopo il divorzio
ERCOLE,È celebre per le sue dodici fatiche
SANTO,Il Padre che sta in Vaticano
PISAPIA,Giuliano già sindaco
FOCAIA,La pietra dell'acciarino
TUFO,Pietra da costruzione
NEOLITICA,Un'era dell'età della pietra
ONICE,Una varietà di agata
SELCE,Una varietà di quarzo
ONICE,Una pietra dura di vari colori
CORNIOLA,Un cammeo dal fondo rosso
AGATA,Una santa e una pietra
CORALLO,Se ne fanno monili e cammei
TESPI,Diede il nome a un carro teatrale
LEONARDO,Il DiCaprio attore
FOÀ,L'Arnoldo grande attore di teatro
FOÀ,Un Arnoldo del teatro
STAND-UP COMEDY,Un genere teatrale con monologhi di un comico
CESCO,Il Baseggio attore veneto
LAURENT,Il Saint dell'alta moda
PASSAMANERIA,La vende il merciaio
ABRAHAM,Il F. Murray ne ll nome della rosa
TRICROMIA,Una stampa a colori
OJOTAS,I tipici sandali degli Indios
OLANDA,Lo Stato con i polder
GUARDINGA,Molto cauta
CAUTA,"Accorta, circospetta"
ACCORTA,"Avveduta, cauta"
IX,Nove scritto in lettere
IVA,Risulta nelle fatture
MEC,Per anni fu anche CEE
GOTI,Calarono dalla Germania
CARNICHE,Le Alpi tra le Dolomiti e le Giulie
ARETINO,La zona toscana di Montevarchi
ILLER,Le province della Turchia
PROCONSOLI,Amministravano le province dell'antica Roma
SATURNIA,Frequentata località termale in provincia di Grosseto
ANSANO,Il Patrono di Siena
OSANNANTE,Che eleva grandi lodi
PITON,"Severus __, il professore di Harry Potter"
HATHAWAY,La Anne di Interstellar
BILE,Colora gli itterici
ISOTOPO,Il trizio lo è dell'idrogeno
AMSTERDAM,La capitale dei Paesi Bassi
RINOCERONTE NERO,Un pachiderma africano
SUPER G,Una specialità dello sci
CHILOMETRO LANCIATO,Specialità sciistica di velocità
CHILOMETRO LANCIATO,Lo sci di velocità
STRADISTI,I ciclisti che percorrono più chilometri
PISTA NERA,L'affrontano gli sciatori
RAPIDE,Veloci tratti di fiume
SCIBILE,Il complesso delle cognizioni umane
SARDO,Un nativo di Oristano o Sassari
ARDITO,"Coraggioso, audacissimo"
ANDRONI,Grandi atri
FIALA,Ampollina per iniezioni
TOMO,"Se è bello, è un bel tipo"
LANCIASABBIA,Un dispositivo che rende efficaci le frenate dei tram
OMEOPATIA,Metodo di cura a base di piccole quantità di farmaci
OVOVIA,Ha piccole cabine per sciatori
OVOVIA,Funivia con piccole cabine
SKIMAN,Assiste gli sciatori durante le gare
STANZETTA,Ha quattro piccole pareti
ASCENSORISTA,Lavora tra cabine e funi
ECONOMY CLASS,Offre i posti non business
TITOLO,Lo si ottiene con la laurea
EBETI,Più che scemi
CANDELA,Dà la scintilla nel cilindro
CASI,Variano nelle declinazioni
GRES,Un impasto per tubature
RAISAT,Si riceveva con la parabola
GROTTA DELLA BASURA,"Spettacolare cavità naturale presso Toirano, in Liguria"
MONFALCONE,La città del Goriziano con grandi cantieri navali
ÎLE DE RÉ,Pittoresca isoletta francese di fronte a La Rochelle
KRAKATOA,Isoletta che ricorda una catastrofica esplosione del suo vulcano
TOIRANO,Comune del Savonese con la Grotta della Bàsura
ANDORA,Località in provincia di Savona
ERGOTECNICA,Lo studio per ottenere il miglior rendimento dal lavoro
VERNICIARE,Dare una mano di colore
TORMENTI,"Dolorosi travagli, afflizioni"
JIM,Il Morrison dei Doors
LLOYD,Il Christopher nel cast di Ritorno al futuro
LABRONICI,Lo stesso che livornesi
CINO,Il poeta pistoiese amico di Dante
ABETONE,Un centro di sport invernali in provincia di Pistoia
ARNO,L'Ombrone Pistoiese è un suo affluente
GITA,Un giro turistico
EMS,Centro termale tedesco
MASTINI,Cani tozzi e forti
CINICO,Durissimo di cuore
TIVOLI,Comune presso Roma ricco di antiche ville
ALONE,Può incorniciare la macchia
CANONICITÀ,Qualità di ciò che è conforme ad un criterio prestabilito
NAVE,Questa non sta né in cielo né in terra!
FUTA,Un passo fra Bologna e Firenze
DERISI,Lo fummo da secoli nell'Inno d'Italia
ANNAM,Regione del Vietnam
RESIA,Il passo da cui nasce l'Adige
FUTA,Un passo dell'Appennino
FUTA,Veste tipica dell'Africa nord-orientale
GRAN,Lo è il Sasso dell'Appennino
ZAMPONE,Un tipico piatto emiliano
MARRADI,Il piccolo Comune dell'Appennino tosco-romagnolo patria del Marron Buono
MENDOLA,Un noto passo delle Alpi del Trentino
FOLE,Le favole dei contadini della Garfagnana
FOLE,Storielle inventate
FOIA,Bramosia sfrenata
EI,Le hanno letti e sedie
FON,Lo usa la parrucchiera
MALASPINA,Furono Signori della Lunigiana
CAPOGRUPPO,Guida il tour organizzato
FRISIA,Una provincia dell'Olanda
ISERNINI,I nativi d'una provincia del Molise
IEMALE,Invernale... in poesia
PORRETTA,Passo appenninico tra Bologna e Pistoia
GELA,Grosso centro in provincia di Caltanissetta
OZIOSE,"Pigre, sfaccendate"
TONDO DONI,Un capolavoro di Michelangelo agli Uffizi
DIABOLICO,"Infernale, satanico"
OSCURO,Essere all'__ = ignorare
SETTE NANI,Accolgono Biancaneve
SOTTOZERO,Ci va spesso il termometro d'inverno
MIRTO,Arbusto sempreverde della macchia mediterranea
CIRENE,Una città della Libia con importanti rovine romane
TATE,Dà nome a quattro importanti musei inglesi
IDRARGIRISMO,L'intossicazione da composti di mercurio
MANGANESE,Ha i suoi maggiori giacimenti nel Caucaso
ADEN,Uno dei più importanti porti petroliferi
ARGENTO,Quello vivo è il mercurio
LEONTOPODIO,Il nome scientifico della stella alpina
MILITESENTE,Non deve svolgere il servizio di leva
ISTRUTTORIA,È una fase del processo giudiziario
PUNZONATURA,Si effettua prima delle corse ciclistiche
MALINCONICA,Soggetta a periodi di tristezza
TIPOGRAFICI,Relativi ai caratteri di stampa
SIGARI,Toscani e avana
ABETONE,È meta di numerosi sciatori toscani
DISCESA LIBERA,Gli sciatori vi raggiungono velocità molto alte
SIGARI,"Lo sono i toscani, ma non le toscane"
FIGI,Isole del Pacifico meta di molti turisti
GIOVENTÙ,Suscita molti ricordi
LOCALITÀ,I centri turistici
MELONE,Si mangia a fette con il prosciutto
BIG,È grosso a Londra
RISATA,Si fa sganasciandosi
ANTA,Uno scuro della finestra
PETROLIO,Lo trattavano le Sette Sorelle
RAVELLO,Località che guarda Amalfi
SETTIMANA BIANCA,Si trascorre ad alta quota
SETTIMANA BIANCA,Un periodo di vacanze sulla neve
SETTIMANA BIANCA,Un breve periodo di vacanza sulla neve
PASSAMONTAGNA,Cappuccio per sciatori
CALENDARIO SCOLASTICO,"Fissa i giorni di lezione, di vacanza e di esame"
ALT,S'impone alzando una mano
DRAMMATURGO,Lo fu Eugene O'Neill
PADRE,Il genitore maschio
ORA,È divisibile in quarti
BISAVI,Antenati... insoliti
STRANO,"Bizzarro, eccentrico"
DORSALI,Rilievi montuosi
CALIPSO,Trattenne Ulisse per sette anni
LAMPASCIONI,I cipollotti amarognoli tipici di Puglia e Basilicata
BRIANÇON,Noto centro turistico francese delle Alte Alpi
SIROLO,Località turistica delle Marche
GALLIPOLI,Una rinomata località turistica del Salento
GALLIPOLI,Bella località del Salento
BELLARIA,"__ - Igea Marina, località turistica a nord di Rimini"
VADO,Località vicina a Savona
UGENTO,"Marina di __, località balneare del Salento"
OTRANTO,La città che dà nome al canale tra l'Adriatico e lo Ionio
BIANCA,La Balti top model
EISENHOWER,Fu presidente degli USA tra Truman e Kennedy
COCCIGE,L'osso estremo della colonna vertebrale
CORNEA,La membrana esterna trasparente dell'occhio
NOSTRA,Italia __: associazione che tutela il patrimonio nazionale
ONTOLOGIA,Parte della metafisica
BAGNI DI LUCCA,Stazione termale toscana
ORDINAMENTI DI GIUSTIZIA,Vennero emanati nel 1293 a Firenze per limitare i diritti dei potenti
MANITOBA,La provincia del Canada che ha per capitale Winnipeg
MASSESI,I Toscani che vivono alle pendici delle Alpi Apuane
MASSESI,I Toscani con i Carraresi
MASSESI,Sono vicini di casa dei Carraresi
MASSESE,Un vicino dei Carraresi
CASERTA,La provincia di Capua
SIGARI,Avana o toscani
GIOCATTOLAI,Negozianti che fanno molti affari sotto Natale
GIAMAICANI,Suonano il reggae
CABOTAGGIO,Navigazione di porto in porto
VENEZIA,Ha un famosissimo Carnevale
PINK FLOYD,Il gruppo musicale inglese che lanciò l'album The Dark Side of the Moon
FAMOSO,"Celebre, rinomato"
INTESA,Si raggiunge negoziando
NEL,La prima parola della Divina Commedia
LA SERVA AMOROSA,Commedia di Goldoni
MOLTO RUMORE PER NULLA,La commedia di Shakespeare ambientata a Messina
L'OPERA DA TRE SOLDI,Una famosa commedia di Brecht
ROSALBA,La Carriera celebre pittrice veneziana
ROLANDO,Una variante del nome del furioso eroe di Ariosto
FILTRO,Nell'auto c'è quello dell'aria e quello dell'olio
IG NOBEL,Il premio satirico per le ricerche più stravaganti
MOLOC,Terribile divinità fenicia
MODANATURE,"Cimase, cornici e simili"
ARDANT,La Fanny che è stata Maria Callas
ASPRETTO,Il sapore leggermente acido del vino
MARASCA,Una ciliegia di sapore aspro
SALE,Il sapore di Gino Paoli
FORTUNALE,Burrasca marina
ISOLA,Confina col mare su tutti i lati
ALADDIN,Film della Disney... con un tappeto volante
TARTARI,I sudditi di Gengis Khan
TARAGNA,Una polenta pasticciata
TASTE VIN,Il piattino al collo del sommelier
TARA,Si fa su quello che lo spaccone racconta
TARA,Togliendola si ottiene il netto
TARA,Se la togli il peso è netto
TARA,Il peso che si detrae
TARA,Lordo meno netto
DENUTRITO,Debilitato dal digiuno
ORIANI,Scrisse Memorie inutili
GILBERT,Scrisse operette con Sullivan
ODE,Un componimento poetico
CARME,Elevato componimento poetico
CARME,Un'opera poetica come i Sepolcri di Foscolo
ANNOSO,"Molto vecchio, secolare"
SCOTT,"__ Fitzgerald, scrisse Il grande Gatsby"
LATINISTA,Uno studioso di Orazio e di Virgilio
DEMONE,Molti sono spinti al casinò da quello del gioco
CANNES,La città francese con La Croisette
TIMONELLA,Carrozza con mantice
CURARO,Il veleno per le frecce
INCUNABOLI,Antichi libri a stampa
COLOPHON,La dicitura finale del libro con i dati di stampa
SALTERIO,Il libro liturgico con i salmi di David
HARDCOVER,Volume rilegato
CARTONATO,Come può esserlo un libro
TITOLO,Salta agli occhi sulla copertina
MANIACA,Eccessivamente rigida e pignola
INDICE,Elenca i capitoli del libro
HAIKAI,Brevi poesie di una strofa di soli tre versi
CHEESECAKE,Dolce statunitense con crema di formaggio
CHEESEBURGER,Panino con hamburger e formaggio
HASHTAG,Chiave di ricerca su Twitter
FOURREAU,S'indossa sotto un abito trasparente
DRAPPELLI,Gruppi di soldati
RAPERONZOLO,Pianta che ci ricorda una fiaba dei fratelli Grimm
ALLAIN,Con Souvestre creò il personaggio di Fantômas
SOPITA,Appena addormentata
CARNALI,I fratelli che hanno i medesimi genitori
EROINA,La bella del Kolossal
LATITANTI,Uccelli di bosco cacciati dalla Polizia
TEE,Il chiodino per la pallina da golf
BRODA,Minestra lunga e insipida
QUESTUA,La praticano i frati e i mendicanti
RADARISTA,"È il primo, a bordo, a percepire un ostacolo"
SCAPOLARE,Riuscire a sfuggire a un pericolo
SASSETTA,Il pittore toscano autore della Pala della Madonna della Neve (1430-32)
EOLO,Il nano che continua a starnutire
BRONTOLO,Uno dei sette nani di Biancaneve
SETTE,I nani di Biancaneve
GRIMILDE,La matrigna di Biancaneve
ONNIVORO,Mangia di tutto
CENA,Leonardo ritrasse l'Ultima
POMI,Ornamenti sferici sulle ringhiere
BENDE,Servono per fasciare
CONTERRANEI,I nativi dello stesso luogo
RETROMARCIA,Si mette guardando lo specchietto
LONGFELLOW,Il poeta americano che tradusse la Divina Commedia
LETE,Vi si immerge Dante nel Purgatorio
ELISO,Il paradiso dei pagani
CACCIAGUIDA,"Nel Paradiso, predice l'esilio a Dante"
CACCIAGUIDA,Il trisavolo di Dante che morì durante la seconda Crociata
CACCIAGUIDA,Un avo di Dante
EDEN,Il Paradiso di Adamo ed Eva
ASTROLOGO,Predice l'avvenire interpretando i segni delle stelle
PROSCRITTO,"Bandito dalla patria, condannato all'esilio"
EUTERPE,La Musa della musica e del bel canto
LITOTE,La figura retorica come notizie non buone
OTITE,Infiamma l'orecchio
BARRETT BROWNING,"Elizabeth __, poetessa inglese dell'800"
MIA,L'indimenticata Martini
RDT,Equivaleva a DDR
RAMANZINA,"Lavata di testa, predicozzo"
COPENAGHEN,La città con la Sirenetta
AMENOFI,Il faraone egizio che sposò la bella Nefertiti
FUSO,Sciolto nel crogiuolo
FUSO,"Si usava, con la rocca, per filare"
PALO,È proverbialmente diritto
FATE,Aiutano la Bella addormentata nel bosco
TOLEDO,Una bella città della Spagna
AGO,Punge i polpastrelli
PARIETTI,L'Alba della tivù
VENERARE,Onorare come un Santo
DESDEMONA,L'infelice sposa di Otello
COMIZIO,Una riunione politica
MOLESTIA,La danno le mosche e gli importuni
FATO,L'ineluttabile destino
AURORA,Segue l'alba
CICCIO,L'assistente di Nonna Papera
AURORA,Il prologo del giorno
AURORA,Fenomeno boreale
AURORA,Annuncia il nuovo giorno
EGLE,La più bella fra le Naiadi
LAMPONI,Frutti del misto bosco al ristorante
FORCA,Il patibolo con il cappio
SENZATETTO,I sinistrati dal terremoto
CALDO,Si fa sentire all'equatore
GIRI,I tours degli Italiani
STRUZZO,L'uccello proverbiale per lo stomaco
MAGLIA,Differenzia gli undici
FARGO,Celebre film dei fratelli Coen
WILHELM,È Guglielmo in Germania
MAMELI,Scrisse le parole dell'inno Fratelli d'Italia
FIABE,Ne scrissero Andersen e i fratelli Grimm
ACIDO,Uno grasso è l'oleico
ASIR,Regione dell'Arabia Saudita
MOTOGP,Vi corrono Lorenzo e Rossi
SKEET,Una variante del tiro al piattello
ARSENICO,È presente in quasi tutti i sali metallici
ASILO,Lo frequentano i più piccini
RISSE,I parapiglia in cui tutti se le danno
GIOÈ,Un Claudio dello schermo
STONE,Una Emma attrice di Hollywood
THERON,Charlize tra le attrici
THERON,La Charlize famosa attrice
THERON,La Charlize di Hollywood
THERON,La Charlize del cinema
DARC,Una Mireille attrice
BELÉN,"La bella Rodríguez, sorella di Cecilia"
BIETTA,Il cuneo dello spaccalegna
NEO,Lo è Keanu Reeves nel film Matrix
MINUTERIA,"L'insieme dei dadi, bulloni e viti in un'officina"
PIAN DEL RE,Vi nasce il Po
BASILIO,Un don del Barbiere
CENTINAIA,Comprendono tre cifre
LOTOFAGI,Il popolo che diede ai compagni di Ulisse un frutto magico
CARIOSSIDE,Il frutto secco del frumento
LITCHI,Un gustoso frutto cinese
MORA,Frutto da misto bosco
LAMPONE,Un frutto per sciroppi
LAMPONE,Frutto rosso e acidulo
AROMA,"Fragranza, profumo"
CILIEGIA,Un frutto come l'agriotta
VALE,Il nomignolo del Rossi centauro
RECLINABILE,Pieghevole come certi sedili
POESIA,Lo è Il passero solitario
DOCCIA,Si fa nella stanza da bagno
NOMI,Designano gli oggetti
AREA,Dà idea dell'estensione di ogni Paese
BICICLETTA,Sta ritta finché si muove
BUKOWSKI,L'autore di Storie di ordinaria follia
BERNARDO D'AOSTA,Il Santo patrono degli alpinisti e dei montanari
OLBIA,Il comune sardo con Porto Rotondo
ZANOBI,Un Patrono di Firenze
RANIERI,Il Santo patrono di Pisa
GIUSEPPE CALASANZIO,Il Santo che nel 1617 fondò a Roma gli Scolopi
GOLFO ARANCI,Località nei pressi di Olbia
MINIMIZZARE,Sdrammatizzare un fatto
FRECCIAROSSA,Un treno Milano-Roma
SCOMPARTIMENTO,È destinato ai viaggiatori
PAISIELLO,Musicò Il barbiere di Siviglia prima di Rossini
CANOSSA,Vi si umiliò Enrico IV
ANGERA,Bella località sul Verbano
INTRA,__muscolare: iniezione
STRESA,Una bella località sul Lago Maggiore
MILES,"__ Davis, grande jazzista"
CHICCO,Lo è spesso Enrico in famiglia
RODOMONTE,Il famoso gradasso saraceno
METANOLO,Alcool che avvelena il vino
TUBOLARI,Gomme per biciclette
OFF LIMITS,Un severo divieto di accesso
GIARDINO DEI TAROCCHI,Il parco con grandi e variopinte installazioni che sorge nei pressi di Capalbio
SERENGETI,Frequentato parco nazionale della Tanzania
SPARTANO,"Severo, austero e rigoroso nei costumi"
SPARTANO,Semplice ed essenziale o rigido
SPARTANO,Austero nei costumi
CONTATORE,Registra consumi
MANICA,Il severo l'ha stretta
SNAKE RIVER,Un fiume che ha origine nel Parco di Yellowstone
VERMONT,Vi si va a sciare negli USA
CPC,Uno dei nostri due corpi organici di codici di leggi
STIMA,Valutazione da periti
MUFFA,È un indice d'umidità
STRETCH-PACK,Una confezione con il prodotto protetto da plastica
LARDO DI COLONNATA,Un ottimo prodotto suino della zona di Carrara
CARBONE VEGETALE,Prodotto erboristico per affezioni gastrointestinali
MUFFA,Si forma più facilmente nei luoghi umidi
MUFFA,Si forma sui muri a causa dell'umidità
MUFFA,Si forma nei luoghi umidi
SANGUE DI GIUDA,Un vino DOC prodotto nell'Oltrepò Pavese
IGRO,Prefissoide per umidità
POLARIA,Il Corpo delle forze dell'ordine negli aeroporti
SCAMPANELLATA,Fa correre alla porta
MESSI,Il Lionel asso argentino del calcio
QUATTROCENTISTA,Gareggia in pista nell'atletica leggera
TOLOMEI,Regnarono in Egitto dopo la morte di Alessandro Magno
NESTA,Un Alessandro della Nazionale di calcio 2006
NESTA,Alessandro __: grande ex calciatore
NESTA,"Alessandro __, ex difensore della Lazio e del Milan"
NESTA,Alessandro __: è stato difensore di Lazio e Milan
RASOIATA,Tiro rasoterra del calciatore
NAZIONALI,Le squadre dei Mondiali
EMINENZA,Appellativo dei porporati
IMPARATICCIO,Il complesso di nozioni non approfondite
GOLLISTI,Conservatori francesi
LESENE,Pilastri incastrati nei muri
ARENGARIO,L'antico palazzo municipale dell'Italia settentrionale
RSI,L'ex-Repubblica dei repubblichini (sigla)
LOFT,Un ex magazzino diventato residenza
QUIRINALE,Una delle alture di Roma
QUIRINALE,Vi risiede il Capo dello Stato
QUIRINALE,"Nel gergo politico italiano è ""il colle"""
FISSA DIMORA,Non l'ha chi continua a cambiare il luogo di residenza
OTRANTO,Un porto dell'Italia meridionale
MANTI,Erano lunghi fino ai piedi
CAMPALE,Lo è la giornata vissuta molto intensamente
PREDESTINATO,Designato dalla sorte
PLATELMINTI,I vermi come la tenia
VELO,Adorna molte spose
ESTENSE,L'importante Biblioteca di Modena
